Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
tui.editor,17544,2024-08-01,2015-07-27,https://github.com/nhn/tui.editor,1805,628,TypeScript,MIT License,🍞📝 Markdown WYSIWYG Editor. GFM Standard + Chart & UML Extensible.,"chart,commonmark,documentation,editor,frontend,gfm,html,jquery,jquery-plugin,markdown,uml,wysiwyg"
vnote,12423,2025-05-16,2016-10-05,https://github.com/vnotex/vnote,1254,657,C++,GNU Lesser General Public License v3.0,A pleasant note-taking platform in native C++.,"editor,markdown,mathjax,note,note-taking,uml,vim,vnote"
plantuml,11624,2025-06-05,2010-11-04,https://github.com/plantuml/plantuml,1042,516,Java,Other,Generate diagrams from textual description,"diagram,diagram-as-code,diagrams,diagrams-as-code,java,plantuml,uml,uml-diagram"
LogicFlow,9882,2025-06-05,2020-12-24,https://github.com/didi/LogicFlow,1215,127,TypeScript,Apache License 2.0,A flow chart editing framework focus on business customization.  专注于业务自定义的流程图编辑框架，支持实现脑图、ER图、UML、工作流等各种图编辑场景。,"bpmn,diagram,diagramming,didi,flow,flowchart,graph,javascript,javascript-diagramming-library,mvvm,svg,typescript,visualization"
C4-PlantUML,6764,2025-05-12,2018-09-05,https://github.com/plantuml-stdlib/C4-PlantUML,1129,1,PlantUML,MIT License,C4-PlantUML combines the benefits of PlantUML and the C4 model for providing a simple way of describing and communicate software architectures,"architecture,c4,c4model,diagram,graphviz,plantuml,uml"
kroki,3271,2025-06-05,2019-01-10,https://github.com/yuzutech/kroki,246,129,JavaScript,MIT License,Creates diagrams from textual descriptions!,"api,blockdiag,bpmn,bytefield,c4,diagrams,ditaa,erd,excalidraw,graphviz,hacktoberfest,images,mermaid,pikchr,plantuml,svgbob,text,uml,umlet,wavedrom"
nomnoml,2768,2025-03-31,2014-06-03,https://github.com/skanaar/nomnoml,209,14,TypeScript,MIT License,The sassy UML diagram renderer,"class-diagram,diagram,flowchart,nomnoml,uml"
gaphor,2045,2025-06-05,2009-06-24,https://github.com/gaphor/gaphor,212,146,Python,No license,Gaphor is the simple modeling tool,"c4model,diagram,fta,gnome,gtk,mbse,model-based-systems-engineering,modeling,python,stpa,sysml,uml"
Diagon,1973,2025-05-16,2018-01-22,https://github.com/ArthurSonzogni/Diagon,71,21,C++,MIT License,Interactive ASCII art diagram generators. :star2:,"antlr,arthursonzogni,ascii,ascii-art,ascii-diagram,cmake,cpp,generators,lexer,markdown,parser,uml,uml-diagram,unicode,webapp,webapplication,webassembly"
umlet,1541,2024-10-29,2015-03-18,https://github.com/umlet/umlet,311,182,JavaScript,GNU General Public License v3.0,Free UML Tool for Fast UML Diagrams,
arkit,960,2025-06-02,2019-01-29,https://github.com/dyatko/arkit,45,24,JavaScript,MIT License,JavaScript architecture diagrams and dependency graphs,"architecture,cli,codebase,component,diagram,flow,generate,javascript,js,plantuml,ts,typescript,uml,visualisation"
Modelio,850,2024-06-28,2020-09-03,https://github.com/ModelioOpenSource/Modelio,138,66,Java,GNU General Public License v3.0,"Modelio is a modeling solution offering a wide range of functionalities based on the main standards of enterprise architecture, software development and systems engineering.","archimate,bpmn,bpmn-support,enterprise-architecture,java,model,modeling-tool,modelio,togaf,uml,xmi"
state-machine-cat,829,2025-05-21,2016-09-14,https://github.com/sverweij/state-machine-cat,45,6,TypeScript,MIT License,write beautiful state charts :scream_cat:,"scxml,state-diagram,state-machine,statechart,uml"
clang-uml,771,2025-05-29,2021-02-14,https://github.com/bkryza/clang-uml,51,16,C++,Apache License 2.0,Customizable automatic UML diagram generator for C++ based on Clang.,"clang,cplusplus,cpp,cpp17,libclang,mermaidjs,plantuml,uml"
PlantUmlClassDiagramGenerator,730,2025-05-17,2015-09-03,https://github.com/pierre3/PlantUmlClassDiagramGenerator,137,42,C#,MIT License,This is a generator to create a class-diagram of PlantUML from the C# source code.,"c-sharp,class-diagram,plantuml"
JetUML,649,2025-05-23,2015-01-07,https://github.com/prmr/JetUML,129,6,Java,GNU General Public License v3.0,A desktop application for fast UML diagramming.,"desktop-application,diagram,java,javafx,modeling,modeling-tool,uml,uml-diagrams"
tx2uml,454,2025-01-24,2020-02-24,https://github.com/naddison36/tx2uml,36,2,TypeScript,MIT License,Ethereum transaction visualizer. Generates UML sequence diagram for a transaction's contract calls.,
jdl-studio,406,2024-12-31,2016-02-20,https://github.com/jhipster/jdl-studio,116,13,TypeScript,Apache License 2.0,JDL Studio is an online JHipster Domain Language visual editor,"design,entity-model,hacktoberfest,jdl,jdl-studio,jhipster,jpa,uml"
sphinxcontrib-mermaid,365,2025-04-29,2016-06-23,https://github.com/mgaitan/sphinxcontrib-mermaid,99,36,Python,Other,Mermaid diagrams in yours sphinx powered docs,"diagrams,sphinx-doc,sphinx-extension,sphinxcontrib,uml"
TsUML2,304,2024-12-17,2020-04-30,https://github.com/demike/TsUML2,38,16,TypeScript,MIT License,Generates UML diagrams from TypeScript source code,"class,diagram,generator,typescript,uml"
umple,266,2025-05-04,2015-08-26,https://github.com/umple/umple,201,365,Java,MIT License,"Umple: Model-Oriented Programming - embed models in code and vice versa and generate complete systems. Save yourself lots of coding. Do it collaboratively online in UmpleOnline, in an IDE or on the co","class-diagram,code-generation,editor,low-code,modeling,state-machine,uml,umple"
umldoclet,246,2025-06-03,2016-02-18,https://github.com/talsma-ict/umldoclet,31,16,Java,Apache License 2.0,Automatically generate PlantUML diagrams in javadoc,"code-analysis,diagram,doclet,generator,javadoc,plantuml,uml"
overarch,246,2025-06-05,2023-05-07,https://github.com/soulspace-org/overarch,6,1,Clojure,Eclipse Public License 1.0,"Overarch provides a data model for the holistic description of a software system, opening multiple use cases on the model data. Supports C4 and UML diagram generation with PlantUML.","architecture,c4model,clojure,diagrams,edn,generation,graphviz,json,markdown,modelling,plantuml,structurizr,systems"
amateras-modeler,234,2024-07-07,2015-06-29,https://github.com/takezoe/amateras-modeler,65,10,Java,No license,UML and ER-diagram editor for Eclipse,"database,eclipse,eclipse-plugin,er-diagram,modeling,uml,uml-diagram"
Archimate-PlantUML,232,2024-11-27,2019-01-15,https://github.com/plantuml-stdlib/Archimate-PlantUML,63,2,,MIT License,PlantUML macros and other includes for Archimate Diagrams,"archimate,architecture,architecture-as-code,diagram,graphviz,plantuml,uml,uml-diagrams"
ecto_erd,231,2025-04-13,2021-08-22,https://github.com/fuelen/ecto_erd,16,5,Elixir,Apache License 2.0,A mix task for generating Entity Relationship Diagram from Ecto schemas available in your project.,"dbml,ecto,elixir,erd,graphviz,mermaid,plantuml,uml"
pddon-win,231,2024-09-12,2023-08-08,https://github.com/pddon/pddon-win,20,1,HTML,MIT License,"PDDON windows client, PDDON is a daily drawing tool that supports low code for learning or office use. It can be used for flowchart, mind map, UML diagram, ER diagram, network topology diagram, BPMN, ","ai,architecture-diagram,bpmn,class-diagram,diagram,drawing-tool,er-diagram,flowchart,html5,lowcode,mindmap,online,svg,tree-diagram,typescript,uml,venn-diagram,web"
nomnoml,220,2024-12-11,2018-10-12,https://github.com/rstudio/nomnoml,18,3,JavaScript,Other,Sassy 'UML' Diagrams for R,"diagrams,htmlwidgets,nomnoml,r,rstats,uml"
plantuml,212,2024-11-28,2011-01-04,https://github.com/hallvard/plantuml,59,33,Java,No license,Embed UML diagrams in files and view them in Eclipse,
UML-State-Machine-in-C,183,2024-08-03,2018-12-27,https://github.com/kiishor/UML-State-Machine-in-C,50,4,C++,MIT License,A minimalist UML State machine framework for finite state machine and hierarchical state machine in C,"active-object,c,event-dispatcher,event-driven-programming,finite-state-machine,fsm,hierarchical-state-machine,hsm,state-machine,state-transition,state-transitions,uml-state-machine"
NClass,180,2025-03-17,2015-09-04,https://github.com/gbaychev/NClass,51,24,C#,GNU General Public License v3.0,"NClass - the free UML editor, reloaded","class-diagram,class-diagram-generator,csharp,dotnet,uml,use-case-diagram,windows-forms"
UmlautAdaptarr,175,2025-04-29,2024-02-06,https://github.com/PCJones/UmlautAdaptarr,6,26,C#,No license,"A tool to work around Sonarr, Radarr, Lidarr and Readarrs problems with foreign languages",
vscode-mermaid-preview,172,2025-05-26,2016-05-12,https://github.com/Mermaid-Chart/vscode-mermaid-preview,21,19,TypeScript,MIT License,Previews Mermaid diagrams,"diagram,hacktoberfest,mermaid,previews-mermaid-diagrams,uml,vscode"
uml-diagram-for-ddd-example-in-evans-book,167,2025-05-30,2025-04-17,https://github.com/takaakit/uml-diagram-for-ddd-example-in-evans-book,8,0,HTML,No license,UML diagram for the DDD example—a cargo shipping system—from Eric Evans' book,"domain-driven-design,java,uml"
asciidoctor-kroki,162,2024-10-09,2019-04-22,https://github.com/asciidoctor/asciidoctor-kroki,53,39,JavaScript,MIT License,Asciidoctor.js extension to convert diagrams to images using Kroki!,"asciidoctor,asciidoctor-extension,asciidoctor-kroki,diagram,ditaa,extension,graphviz,hacktoberfest,javascript,kroki,mermaid,plantuml,uml"
qm,155,2025-04-18,2016-12-13,https://github.com/QuantumLeaps/qm,40,6,Shell,Other,Graphical modeling and code generation tool based on UML state machines,"code-generation,code-generator,embedded-systems,free,fsm,graphical-models,hierarchical-state-machine,linux,macos,modeling-tool,object-oriented,qm-modeling,qp,samek,state-diagram,state-machine,statechart,uml,uml-state-machine,windows"
sismic,148,2025-04-21,2015-11-30,https://github.com/AlexandreDecan/sismic,28,7,Python,GNU Lesser General Public License v3.0,Sismic Interactive Statechart Model Interpreter and Checker http://sismic.readthedocs.io/,"behavior-driven-development,design-by-contract,finite-state-machine,hierarchical-state-machine,property-testing,python,statecharts,testing,uml"
pocketbase-uml.github.io,137,2025-02-04,2023-03-11,https://github.com/pocketbase-uml/pocketbase-uml.github.io,6,1,Svelte,MIT License,"A free, open-source web application that generates UML diagrams based on PocketBase databases","developer-tools,diagrams,pocketbase,tools,uml"
web-sequence,129,2025-05-31,2017-09-30,https://github.com/ZenUml/web-sequence,27,67,JavaScript,MIT License,Realtime tool for generating sequence diagrams.,"chrome-extension,sequence-diagram,uml,uml-diagrams"
umbrello,125,2025-06-05,2015-09-18,https://github.com/KDE/umbrello,39,0,C++,GNU General Public License v2.0,GUI for diagramming Unified Modelling Language (UML),
prisma-uml,121,2025-05-29,2020-04-21,https://github.com/emyann/prisma-uml,10,39,TypeScript,No license,A CLI to transform a Prisma schema to a PlantUML Entity RelationShip Diagram,
pumla,119,2025-03-30,2021-03-05,https://github.com/DrMarkusVoss/pumla,11,10,Python,GNU General Public License v3.0,pumla - systematic re-use of model elements described with PlantUML ,"architecture,architecture-models,c4-model,c4model,diagram,diagrams,json,markdown,plantuml,plantuml-manager,re-usable,requirements,requirements-management,requirements-tracing,software-architecture,uml"
generate-plantuml-action,111,2024-06-18,2019-12-08,https://github.com/grassedge/generate-plantuml-action,166,20,TypeScript,MIT License,Generate uml diagrams with Plantuml Server and push them to your repository.,"github-actions,plantuml,uml-diagrams"
